X,Y,BoxID,Thickness (m),Speed (m/yr),Width (m),Speed/Width,SpeedxWidth,SpeedxWidthxThickness
444420,-798820,596,148.86,82.6435165405273,9682.15475498331,0.00853565333666987,800167.316641409,2952555.3293335
444660,-798820,596,148.49,86.8273620605469,9682.15475498331,0.00896777259378731,840675.956437182,3094318.79816895
444660,-799060,596,148.16,83.0465927124023,9682.15475498331,0.00857728417010264,804069.962515549,2953003.96230469
444900,-799060,596,147.37,84.0672225952148,9682.15475498331,0.00868269767656277,813951.8589885,2973356.78252563
444900,-799300,596,147.44,85.1140747070312,9682.15475498331,0.00879081948811279,824087.643140688,3011812.60195313
445140,-799300,596,145.43,74.1138153076172,9682.15475498331,0.00765468195697569,717581.429290601,2586809.31844482
445380,-799300,596,145.04,73.9337997436523,9682.15475498331,0.00763608944647361,715838.490741988,2573605.99555664
445380,-799540,596,144.26,68.9497756958008,9682.15475498331,0.00712132551489254,667582.398608131,2387206.71405029
445620,-799540,596,143.07,67.753059387207,9682.15475498331,0.00699772531030194,655995.606110513,2326423.24956665
445620,-799780,596,142.58,65.4773254394531,9682.15475498331,0.00676268114861029,633961.597847191,2240581.69467773
445860,-799780,596,143.24,61.5982894897461,9682.15475498331,0.00636204347570896,596404.171481984,2117601.3567627
445860,-800020,596,143.98,61.5982894897461,9682.15475498331,0.00636204347570896,596404.171481984,2128541.21297607
446100,-800020,596,145.78,61.5982894897461,9682.15475498331,0.00636204347570896,596404.171481984,2155151.67403564
446100,-800260,596,148.8,63.3226432800293,9682.15475498331,0.00654013955389814,613099.631731848,2261378.23681641
446340,-800260,596,148.81,61.6130447387695,9682.15475498331,0.00636356743906183,596547.034086477,2200472.92501831
446580,-800260,596,147.32,59.881721496582,9682.15475498331,0.00618475153640376,579784.094524718,2117226.05061035
446580,-800500,596,148.81,60.7563095092773,9682.15475498331,0.00627508143040232,588251.991010488,2169875.14033813
440580,-829060,564,200.32,48.5639266967773,7024.77291993674,0.00691323794381309,341150.557145315,2334798.19101562
440820,-829060,564,196.87,48.5190010070801,7024.77291993674,0.00690684262111593,340834.96437692,2292464.57478333
439620,-829300,564,208.16,52.3846282958984,7024.77291993674,0.00745712763856432,367990.118273979,2617052.21425781
439860,-829300,564,210.08,51.5558319091797,7024.77291993674,0.00733914569150855,362168.011860416,2599403.80019531
440100,-829300,564,211.55,51.2188568115234,7024.77291993674,0.00729117615548271,359800.838319707,2600483.79803467
440340,-829300,564,209.01,51.2444610595703,7024.77291993674,0.00729482100611898,359980.702348022,2570545.15345459
440580,-829300,564,207.45,51.1967430114746,7024.77291993674,0.00728802818183276,359645.493895968,2548983.4410553
440820,-829300,564,215.06,50.3927345275879,7024.77291993674,0.00717357487593231,353997.516870961,2600990.75700073
438660,-829540,564,236.47,55.7769317626953,7024.77291993674,0.0079400334214928,391820.279803742,3165497.05294189
438900,-829540,564,223.68,54.7095603942871,7024.77291993674,0.00778808952514578,384322.238319432,2936984.27255859
439140,-829540,564,215.2,54.6047630310059,7024.77291993674,0.00777317126878709,383586.060639773,2820226.80102539
439380,-829540,564,211.5,54.6047630310059,7024.77291993674,0.00777317126878709,383586.060639773,2771737.77145386
439620,-829540,564,211.28,53.5840530395508,7024.77291993674,0.007627869776043,376415.80473269,2717097.29428711
439860,-829540,564,214.02,53.9534721374512,7024.77291993674,0.00768045782438431,379010.890007729,2771309.30564575
437700,-829780,564,232.19,35.8116073608398,7024.77291993674,0.0050979024900868,251568.409607835,1995623.30714722
437940,-829780,564,238.51,36.979564666748,7024.77291993674,0.00526416513219918,259773.044462021,2116799.03247986
438180,-829780,564,243.25,43.9201545715332,7024.77291993674,0.00625218139747764,308529.112473542,2564058.62388611
438420,-829780,564,245.97,53.1075706481934,7024.77291993674,0.00756004090857809,373068.624133056,3135088.59656067
438660,-829780,564,238.32,54.6798553466797,7024.77291993674,0.00778386091192996,384113.567105414,3127512.75029297
438900,-829780,564,224.37,53.712776184082,7024.77291993674,0.00764619394765656,377320.055592563,2892368.5421814
436500,-830020,564,175.44,25.705394744873,7024.77291993674,0.00365924920817291,180574.560900068,1082341.06896973
436740,-830020,564,187.39,29.3972816467285,7024.77291993674,0.00418480169847159,206509.228031692,1322101.58586731
436980,-830020,564,198.79,28.8107681274414,7024.77291993674,0.00410130953068599,202389.103744227,1374550.22305298
437220,-830020,564,209.39,30.9640216827393,7024.77291993674,0.0044078324005124,217515.221009241,1556053.56003571
437460,-830020,564,225.81,32.9939575195312,7024.77291993674,0.00469680057926034,231775.059304746,1788087.73139648
437700,-830020,564,237.19,32.9939575195312,7024.77291993674,0.00469680057926034,231775.059304746,1878200.82817383
435540,-830260,564,95.585,22.2507553100586,7024.77291993674,0.0031674696910002,156306.503350238,510441.227114868
435780,-830260,564,112.36,22.887903213501,7024.77291993674,0.0032581698332972,160782.322688335,617204.353216553
436020,-830260,564,128.23,22.887903213501,7024.77291993674,0.0032581698332972,160782.322688335,704379.798976135
436260,-830260,564,147.41,26.2564373016357,7024.77291993674,0.00373769196540408,184445.509730548,928910.74143219
436500,-830260,564,169.15,25.705394744873,7024.77291993674,0.00365924920817291,180574.560900068,1043536.20506287
436740,-830260,564,188.83,29.3972816467285,7024.77291993674,0.00418480169847159,206509.228031692,1332261.28640442
435060,-830500,564,50.437,20.6968364715576,7024.77291993674,0.00294626412945231,145390.576373757,250532.721867828
435300,-830500,564,73.77,18.6416778564453,7024.77291993674,0.00265370540356387,130953.553788141,330047.178112793
435540,-830500,564,95.759,21.5803356170654,7024.77291993674,0.0030720331978019,151596.957245908,495962.726005096
435780,-830500,564,116.51,23.206693649292,7024.77291993674,0.00330355072167955,163021.753108814,648914.850498962
-572300,-1327700,3,36.528,38.2584533691406,4165.45714056897,0.00918469499938602,159363.947773612,335401.148320312
-573260,-1328000,3,53.902,45.2097969055176,4165.45714056897,0.0108535018798302,188319.471343761,584855.63347229
-573020,-1328000,3,51.943,45.2097969055176,4165.45714056897,0.0108535018798302,188319.471343761,563599.795359192
-572780,-1328000,3,57.338,41.2760200500488,4165.45714056897,0.00990912129380613,171933.492451744,568004.265031128
-572540,-1328000,3,54.371,40.033863067627,4165.45714056897,0.0096109170534302,166759.340779607,522403.480523987
-572300,-1328000,3,41.54,38.3160285949707,4165.45714056897,0.00919851706594129,159603.774909166,381995.47868042
-574220,-1328200,3,79.706,50.5621604919434,4165.45714056897,0.0121384421410796,210614.51246376,967225.815401001
-573980,-1328200,3,67.567,46.2411956787109,4165.45714056897,0.0111011094624766,192615.718728334,749850.928421631
-573740,-1328200,3,55.123,48.5206336975098,4165.45714056897,0.0116483334385916,202110.620100224,641904.693913879
-573500,-1328200,3,66.668,48.3509140014648,4165.45714056897,0.0116075888839563,201403.659980438,773630.096315918
-573260,-1328200,3,55.225,48.2094230651855,4165.45714056897,0.0115736211988969,200814.285549588,638967.693305969
-575420,-1328500,3,103.03,37.8762702941895,4165.45714056897,0.00909294442746704,157771.980555052,936574.110818481
-575180,-1328500,3,107.99,51.4908065795898,4165.45714056897,0.0123613819184697,214482.747940608,1334518.12860718
-574940,-1328500,3,59.996,57.6150550842285,4165.45714056897,0.0138316283519265,239993.042604874,829601.48276001
-574700,-1328500,3,49.998,57.6150550842285,4165.45714056897,0.0138316283519265,239993.042604874,691353.005784302
-574460,-1328500,3,66.573,57.820011138916,4165.45714056897,0.0138808320882203,240846.778266375,923820.384372253
-574220,-1328500,3,55.967,53.5825576782227,4165.45714056897,0.0128635479540437,223195.847490701,719725.201338501
-575420,-1328700,3,74.108,33.0142135620117,4165.45714056897,0.00792571198019869,137519.291622151,587188.161276856
-575420,-1328900,3,30.243,33.0142135620117,4165.45714056897,0.00792571198019869,137519.291622151,239627.726581421
-575180,-1328900,3,62.182,49.8514137268066,4165.45714056897,0.0119678133862631,207653.927275785,743966.54600647
-575180,-1329200,3,52.09,47.7746963500977,4165.45714056897,0.0114692564916349,199003.450050029,597260.143890381
-572780,-1329400,3,89.668,43.1691055297852,4165.45714056897,0.01036359373605,179819.058881019,929012.965114746
-572540,-1329400,3,78.509,35.6581001281738,4165.45714056897,0.00856042900571128,148532.287798025,671875.627911072
-572300,-1329400,3,60.468,30.756628036499,4165.45714056897,0.00738373412534929,128115.415874459,446350.028186646
-572060,-1329400,3,24.444,20.6467742919922,4165.45714056897,0.00495666468174775,86003.2534042948,121125.54019043
-563900,-1330100,4,193.74,37.4090309143066,3295.7819744361,0.011350578164597,123292.009768495,1739430.15584106
-563660,-1330100,4,204.87,40.9124412536621,3295.7819744361,0.0124135763745908,134838.486413996,2011615.64151306
-563420,-1330100,4,214.32,51.9917373657227,3295.7819744361,0.0157752356706236,171353.430829565,2674288.5965332
-563180,-1330100,4,233.21,54.6064910888672,3295.7819744361,0.0165685993528775,179971.089017894,3056347.14884033
-562940,-1330100,4,261.74,55.2786483764648,3295.7819744361,0.0167725440594179,182186.372890344,3472472.02225342
-562700,-1330100,4,277.21,55.2786483764648,3295.7819744361,0.0167725440594179,182186.372890344,3677710.58794556
-564380,-1330400,4,217.72,69.1489944458008,3295.7819744361,0.0209810585111996,227900.009444852,3613228.57697754
-564140,-1330400,4,218.84,73.0929260253906,3295.7819744361,0.0221777188516533,240898.348053274,3838957.42353516
-563900,-1330400,4,217.28,87.2740936279297,3295.7819744361,0.0264805421914664,287636.384614179,4551099.61523438
-563660,-1330400,4,211.09,87.4397201538086,3295.7819744361,0.0265307962820475,288182.253532659,4429836.12654419
-563420,-1330400,4,216.1,88.1822204589844,3295.7819744361,0.0267560843353639,290629.372654471,4573482.68188477
-563180,-1330400,4,231.89,104.684883117676,3295.7819744361,0.0317632913614036,345018.550775186,5826090.61107788
-562940,-1330400,4,233.6,100.454483032227,3295.7819744361,0.0304797112829085,331076.074428909,5631880.13671875
-562940,-1330600,4,234.23,121.001899719238,3295.7819744361,0.0367141700081485,398795.87996719,6802145.99309692
-562700,-1330600,4,247.73,121.001899719238,3295.7819744361,0.0367141700081485,398795.87996719,7194192.14818726
-603490,-1370000,5,243.64,15.0495653152466,4766.64161451295,0.00315726805837999,71735.8843119851,880002.262417602
-604210,-1370200,5,219.14,19.9171447753906,4766.64161451295,0.00417844394148473,94937.8911286562,1047514.34545898
-603970,-1370200,5,224.76,18.4236087799072,4766.64161451295,0.00386511306489102,87818.740299812,993813.674249268
-603730,-1370200,5,230.65,16.3819789886475,4766.64161451295,0.00343679687156874,78087.0227753638,906840.828895569
-603490,-1370200,5,238.8,16.3819789886475,4766.64161451295,0.00343679687156874,78087.0227753638,938883.979797363
-604690,-1370400,5,213.39,28.5173892974854,4766.64161451295,0.00598270052664725,135932.17456266,1460478.1685257
